agegrp,density_c,examyear_cat,riskBCSC_v2_5y_cat,resinit_c,resfnl_c,resfnl_c3,cancscrfu1yr_c,dcisscrfu1yr_c,invscrfu1yr_c,stage_advanced,count
40-49,a,2009-2010,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,7231
40-49,a,2011-2012,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,6199
40-49,a,2013-2014,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,5123
40-49,a,2015-2017,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,2762
40-49,a,2005-2008,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,6
40-49,a,2009-2010,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,8
40-49,a,2011-2012,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,4
40-49,a,2013-2014,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,5
40-49,a,2015-2017,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,2
40-49,a,2009-2010,1.67 to 2.49,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,2
40-49,a,2005-2008,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
40-49,a,2013-2014,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
40-49,a,2009-2010,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,2
40-49,a,2011-2012,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,1: Yes,0: No,0: No,1
40-49,a,2005-2008,0.00 to < 1.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,287
40-49,a,2009-2010,0.00 to < 1.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,271
40-49,a,2011-2012,0.00 to < 1.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,247
40-49,a,2013-2014,0.00 to < 1.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,188
40-49,a,2015-2017,0.00 to < 1.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,101
40-49,a,2005-2008,1.00 to 1.66,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1
40-49,a,2009-2010,1.67 to 2.49,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1
40-49,a,2005-2008,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,79
40-49,a,2009-2010,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,109
40-49,a,2011-2012,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,81
40-49,a,2013-2014,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,45
40-49,a,2015-2017,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,30
40-49,a,2005-2008,1.00 to 1.66,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,1
40-49,a,2009-2010,1.00 to 1.66,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,1
40-49,a,2011-2012,1.00 to 1.66,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,1
40-49,a,2015-2017,1.00 to 1.66,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,1
40-49,a,2015-2017,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,1
40-49,a,2005-2008,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,34
40-49,a,2009-2010,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,52
40-49,a,2011-2012,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,39
40-49,a,2013-2014,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,34
40-49,a,2015-2017,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,22
40-49,a,2005-2008,1.00 to 1.66,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,1
40-49,a,2009-2010,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,9
40-49,a,2011-2012,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,2
40-49,a,2013-2014,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,1
40-49,a,2005-2008,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,1: Yes,1
40-49,a,2005-2008,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,2
40-49,a,2009-2010,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,1
40-49,a,2011-2012,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,1
40-49,a,2015-2017,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,1
40-49,b,2005-2008,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,31629
40-49,b,2009-2010,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,33591
40-49,b,2011-2012,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,31172
40-49,b,2013-2014,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,30325
40-49,b,2015-2017,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,17670
40-49,b,2005-2008,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,3070
40-49,b,2009-2010,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,3287
40-49,b,2011-2012,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,3228
40-49,b,2013-2014,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,3161
40-49,b,2015-2017,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1965
40-49,b,2005-2008,1.67 to 2.49,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,169
40-49,b,2009-2010,1.67 to 2.49,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,142
40-49,b,2011-2012,1.67 to 2.49,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,169
40-49,b,2013-2014,1.67 to 2.49,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,179
40-49,b,2015-2017,1.67 to 2.49,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,100
40-49,b,2005-2008,2.50 to 3.99,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,9
40-49,b,2009-2010,2.50 to 3.99,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,13
40-49,b,2011-2012,2.50 to 3.99,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,15
40-49,b,2013-2014,2.50 to 3.99,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,22
40-49,b,2015-2017,2.50 to 3.99,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,8
40-49,b,2005-2008,>=4.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,3
40-49,b,2009-2010,>=4.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,5
40-49,b,2011-2012,>=4.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,4
40-49,b,2013-2014,>=4.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1
40-49,b,2015-2017,>=4.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1
40-49,b,2005-2008,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,8
40-49,b,2009-2010,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,8
40-49,b,2011-2012,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,3
40-49,b,2013-2014,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,8
40-49,b,2015-2017,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
40-49,b,2005-2008,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
40-49,b,2009-2010,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,2
