agegrp,density_c,examyear_cat,riskBCSC_v2_5y_cat,resinit_c,resfnl_c,resfnl_c3,cancscrfu1yr_c,dcisscrfu1yr_c,invscrfu1yr_c,stage_advanced,count
50-59,a,2009-2010,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,2
50-59,a,2005-2008,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,57
50-59,a,2009-2010,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,115
50-59,a,2011-2012,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,102
50-59,a,2013-2014,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,88
50-59,a,2015-2017,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,46
50-59,a,2005-2008,1.00 to 1.66,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,14
50-59,a,2009-2010,1.00 to 1.66,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,10
50-59,a,2011-2012,1.00 to 1.66,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,10
50-59,a,2013-2014,1.00 to 1.66,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,12
50-59,a,2015-2017,1.00 to 1.66,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,12
50-59,a,2005-2008,1.67 to 2.49,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,2
50-59,a,2009-2010,1.67 to 2.49,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,1
50-59,a,2013-2014,1.67 to 2.49,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,2
50-59,a,2015-2017,1.67 to 2.49,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,2
50-59,a,2005-2008,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,7
50-59,a,2009-2010,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,16
50-59,a,2011-2012,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,15
50-59,a,2013-2014,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,12
50-59,a,2015-2017,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,8
50-59,a,2005-2008,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,1
50-59,a,2009-2010,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,5
50-59,a,2011-2012,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,1
50-59,a,2013-2014,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,5
50-59,a,2015-2017,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,3
50-59,a,2009-2010,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,1: Yes,2
50-59,a,2011-2012,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,1: Yes,1
50-59,a,2011-2012,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,1: Yes,1
50-59,a,2005-2008,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,4
50-59,a,2009-2010,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,4
50-59,a,2011-2012,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,7
50-59,a,2013-2014,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,7
50-59,a,2015-2017,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,5
50-59,a,2005-2008,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,1
50-59,a,2009-2010,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,1
50-59,a,2015-2017,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,2
50-59,b,2005-2008,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,19737
50-59,b,2009-2010,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,23021
50-59,b,2011-2012,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,23118
50-59,b,2013-2014,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,24680
50-59,b,2015-2017,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,16706
50-59,b,2005-2008,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,31474
50-59,b,2009-2010,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,35460
50-59,b,2011-2012,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,36494
50-59,b,2013-2014,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,38836
50-59,b,2015-2017,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,25155
50-59,b,2005-2008,1.67 to 2.49,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,6847
50-59,b,2009-2010,1.67 to 2.49,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,7471
50-59,b,2011-2012,1.67 to 2.49,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,8234
50-59,b,2013-2014,1.67 to 2.49,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,9120
50-59,b,2015-2017,1.67 to 2.49,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,5889
50-59,b,2005-2008,2.50 to 3.99,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,783
50-59,b,2009-2010,2.50 to 3.99,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,877
50-59,b,2011-2012,2.50 to 3.99,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1036
50-59,b,2013-2014,2.50 to 3.99,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1043
50-59,b,2015-2017,2.50 to 3.99,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,698
50-59,b,2005-2008,>=4.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,31
50-59,b,2009-2010,>=4.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,33
50-59,b,2011-2012,>=4.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,43
50-59,b,2013-2014,>=4.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,56
50-59,b,2015-2017,>=4.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,39
50-59,b,2005-2008,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,5
50-59,b,2009-2010,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,4
50-59,b,2011-2012,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
50-59,b,2013-2014,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,5
50-59,b,2015-2017,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,3
50-59,b,2005-2008,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,7
50-59,b,2009-2010,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,6
50-59,b,2011-2012,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,9
50-59,b,2013-2014,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,6
50-59,b,2015-2017,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,8
50-59,b,2005-2008,1.67 to 2.49,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
50-59,b,2009-2010,1.67 to 2.49,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,4
50-59,b,2011-2012,1.67 to 2.49,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,2
50-59,b,2013-2014,1.67 to 2.49,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,4
50-59,b,2015-2017,1.67 to 2.49,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
50-59,b,2009-2010,2.50 to 3.99,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
50-59,b,2015-2017,2.50 to 3.99,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,2
50-59,b,2005-2008,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,2
50-59,b,2009-2010,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,5
50-59,b,2011-2012,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,2
50-59,b,2013-2014,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,4
50-59,b,2015-2017,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,2
50-59,b,2005-2008,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,7
50-59,b,2009-2010,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,1
50-59,b,2011-2012,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,4
50-59,b,2013-2014,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,8
50-59,b,2015-2017,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,2
50-59,b,2005-2008,1.67 to 2.49,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,3
50-59,b,2009-2010,1.67 to 2.49,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,1
50-59,b,2011-2012,1.67 to 2.49,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,1
50-59,b,2015-2017,1.67 to 2.49,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,1
50-59,b,2011-2012,2.50 to 3.99,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,1
50-59,b,2005-2008,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,1: Yes,0: No,0: No,3
50-59,b,2009-2010,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,1: Yes,0: No,0: No,2
50-59,b,2011-2012,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,1: Yes,0: No,0: No,5
50-59,b,2013-2014,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,1: Yes,0: No,0: No,1
50-59,b,2015-2017,1.00 to 1.66,0: Negative,0: Negative,0: Negative,1: Yes,1: Yes,0: No,0: No,2
50-59,b,2009-2010,1.67 to 2.49,0: Negative,0: Negative,0: Negative,1: Yes,1: Yes,0: No,0: No,1
50-59,b,2005-2008,0.00 to < 1.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1251
50-59,b,2009-2010,0.00 to < 1.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1352
50-59,b,2011-2012,0.00 to < 1.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1283
50-59,b,2013-2014,0.00 to < 1.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1218
50-59,b,2015-2017,0.00 to < 1.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,800
50-59,b,2005-2008,1.00 to 1.66,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1925
50-59,b,2009-2010,1.00 to 1.66,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,2090
50-59,b,2011-2012,1.00 to 1.66,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,2150
50-59,b,2013-2014,1.00 to 1.66,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,2093
50-59,b,2015-2017,1.00 to 1.66,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1172
50-59,b,2005-2008,1.67 to 2.49,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,446
50-59,b,2009-2010,1.67 to 2.49,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,511
50-59,b,2011-2012,1.67 to 2.49,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,477
50-59,b,2013-2014,1.67 to 2.49,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,514
50-59,b,2015-2017,1.67 to 2.49,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,251
50-59,b,2005-2008,2.50 to 3.99,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,60
50-59,b,2009-2010,2.50 to 3.99,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,79
50-59,b,2011-2012,2.50 to 3.99,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,74
50-59,b,2013-2014,2.50 to 3.99,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,75
50-59,b,2015-2017,2.50 to 3.99,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,48
50-59,b,2005-2008,>=4.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,8
50-59,b,2009-2010,>=4.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,5
50-59,b,2011-2012,>=4.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,8
50-59,b,2013-2014,>=4.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,5
50-59,b,2015-2017,>=4.00,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,2
50-59,b,2013-2014,0.00 to < 1.00,1: Positive,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
50-59,b,2015-2017,0.00 to < 1.00,1: Positive,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
50-59,b,2009-2010,1.00 to 1.66,1: Positive,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
50-59,b,2013-2014,1.00 to 1.66,1: Positive,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,2
50-59,b,2015-2017,1.00 to 1.66,1: Positive,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
50-59,b,2013-2014,1.67 to 2.49,1: Positive,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,2
50-59,b,2005-2008,0.00 to < 1.00,1: Positive,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,1
50-59,b,2009-2010,1.00 to 1.66,1: Positive,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,1
50-59,b,2005-2008,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,418
50-59,b,2009-2010,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,438
50-59,b,2011-2012,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,378
50-59,b,2013-2014,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,354
50-59,b,2015-2017,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,206
50-59,b,2005-2008,1.00 to 1.66,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,620
50-59,b,2009-2010,1.00 to 1.66,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,696
50-59,b,2011-2012,1.00 to 1.66,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,657
50-59,b,2013-2014,1.00 to 1.66,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,524
50-59,b,2015-2017,1.00 to 1.66,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,344
50-59,b,2005-2008,1.67 to 2.49,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,144
50-59,b,2009-2010,1.67 to 2.49,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,148
50-59,b,2011-2012,1.67 to 2.49,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,156
50-59,b,2013-2014,1.67 to 2.49,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,146
50-59,b,2015-2017,1.67 to 2.49,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,89
50-59,b,2005-2008,2.50 to 3.99,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,18
50-59,b,2009-2010,2.50 to 3.99,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,20
50-59,b,2011-2012,2.50 to 3.99,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,16
50-59,b,2013-2014,2.50 to 3.99,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,28
50-59,b,2015-2017,2.50 to 3.99,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,14
50-59,b,2005-2008,>=4.00,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,1
50-59,b,2009-2010,>=4.00,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,3
50-59,b,2011-2012,>=4.00,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,3
50-59,b,2005-2008,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,2
50-59,b,2009-2010,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,3
50-59,b,2011-2012,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,1
50-59,b,2015-2017,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,1
50-59,b,2009-2010,1.00 to 1.66,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,2
50-59,b,2011-2012,1.00 to 1.66,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,9
50-59,b,2013-2014,1.00 to 1.66,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,3
50-59,b,2015-2017,1.00 to 1.66,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,3
50-59,b,2009-2010,1.67 to 2.49,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,2
50-59,b,2011-2012,1.67 to 2.49,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,3
50-59,b,2013-2014,1.67 to 2.49,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,2
50-59,b,2013-2014,2.50 to 3.99,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,2
50-59,b,2011-2012,>=4.00,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,1
50-59,b,2015-2017,1.00 to 1.66,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,1: Yes,1
50-59,b,2011-2012,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,1
50-59,b,2013-2014,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,2
50-59,b,2015-2017,0.00 to < 1.00,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,1
50-59,b,2005-2008,1.00 to 1.66,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,1
50-59,b,2009-2010,1.00 to 1.66,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,2
50-59,b,2011-2012,1.00 to 1.66,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,3
50-59,b,2013-2014,1.00 to 1.66,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,2
50-59,b,2015-2017,1.00 to 1.66,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,1
50-59,b,2009-2010,1.67 to 2.49,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,2
50-59,b,2013-2014,1.67 to 2.49,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,1
50-59,b,2005-2008,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,188
50-59,b,2009-2010,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,187
50-59,b,2011-2012,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,218
50-59,b,2013-2014,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,185
50-59,b,2015-2017,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,100
50-59,b,2005-2008,1.00 to 1.66,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,317
50-59,b,2009-2010,1.00 to 1.66,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,346
50-59,b,2011-2012,1.00 to 1.66,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,389
50-59,b,2013-2014,1.00 to 1.66,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,316
50-59,b,2015-2017,1.00 to 1.66,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,205
50-59,b,2005-2008,1.67 to 2.49,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,100
50-59,b,2009-2010,1.67 to 2.49,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,66
50-59,b,2011-2012,1.67 to 2.49,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,89
50-59,b,2013-2014,1.67 to 2.49,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,101
50-59,b,2015-2017,1.67 to 2.49,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,60
50-59,b,2005-2008,2.50 to 3.99,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,11
50-59,b,2009-2010,2.50 to 3.99,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,16
50-59,b,2011-2012,2.50 to 3.99,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,10
50-59,b,2013-2014,2.50 to 3.99,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,21
50-59,b,2015-2017,2.50 to 3.99,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,7
50-59,b,2005-2008,>=4.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,2
50-59,b,2009-2010,>=4.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,1
50-59,b,2013-2014,>=4.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,2
50-59,b,2015-2017,>=4.00,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,1
50-59,b,2005-2008,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,30
50-59,b,2009-2010,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,33
50-59,b,2011-2012,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,39
50-59,b,2013-2014,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,31
50-59,b,2015-2017,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,36
50-59,b,2005-2008,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,50
50-59,b,2009-2010,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,79
50-59,b,2011-2012,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,80
50-59,b,2013-2014,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,97
50-59,b,2015-2017,1.00 to 1.66,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,72
50-59,b,2005-2008,1.67 to 2.49,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,18
50-59,b,2009-2010,1.67 to 2.49,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,20
50-59,b,2011-2012,1.67 to 2.49,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,29
50-59,b,2013-2014,1.67 to 2.49,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,31
50-59,b,2015-2017,1.67 to 2.49,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,27
50-59,b,2005-2008,2.50 to 3.99,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,3
50-59,b,2009-2010,2.50 to 3.99,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,7
50-59,b,2011-2012,2.50 to 3.99,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,8
50-59,b,2013-2014,2.50 to 3.99,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,5
50-59,b,2015-2017,2.50 to 3.99,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,6
50-59,b,2013-2014,>=4.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,1
50-59,b,2015-2017,>=4.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,2
50-59,b,2005-2008,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,1: Yes,4
50-59,b,2009-2010,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,1: Yes,4
50-59,b,2011-2012,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,1: Yes,6
50-59,b,2013-2014,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,1: Yes,4
50-59,b,2015-2017,0.00 to < 1.00,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,1: Yes,2
